Show,A,Z,N,symb,symb A,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,Total BE MeV,atomic mass, unc, mass excess,unc
0,17,5,12,B,B 17,,,0, ,(3/2-), ,5.08,5,ms,0.00508,5E-05,B-,100, ,B-N,63,1,B-2N,11,7, , , , , ,22684.419,204841,21950.87,204,-15689.49,216,,,1467.51,206,21019.79,263,5269.667,12006,89.584339,17046931.399,219114,43716.317,204104
0,17,6,11,C,C 17,,,0, ,3/2+, ,193,6,ms,0.193,0.006,B-,100, ,B-N,26,1.8, , , , , , , , ,13161.82,22946,7276.67,18,-15052.09,20,-22684.419,205,733.55,18,23369.58,30,6558.024,1020,111.486408,17022578.672,18641,21031.898,17365
0,17,7,10,N,N 17,,,0, ,1/2-, ,4.173,4,s,4.173,0.004,B-,100, ,B-N,95.1,0.7,B-A,0.0025, ,3/2, , , , ,8678.842,15000,4535.76,15,-11116.78,15,-13161.819,23,5885.15,15,13113.02,15,7286.229,882,123.865893,17008448.877,16103,7870.079,15000
1,17,8,9,O,O 17,2.6932,75,0, ,5/2+, ,STABLE, , , , , , , , , , , , , ,1/2,-1.89379, , , ,-2760.465,248,-19560.33,8,-6358.69,0,-8678.842,15,4143.08,0,13781.64,229,7750.728,0,131.762376,16999131.75664,70,-808.76348,66
0,17,9,8,F,F 17,,,0, ,5/2+, ,64.49,16,s,64.49,0.16,EC+B+,100, , , , , , , ,1/2,4.7223, , , ,-14548.746,432,-30106.39,20,-5818.69,37,2760.465,248,16799.87,8,600.27,25,7542.328,15,128.219576,17002095.238,266,1951.702,248
0,17,10,7,Ne,Ne 17,3.0413,88,0, ,1/2-, ,109.2,6,ms,0.1092,0.0006,EC+B+,100, ,ECP,100, ,ECA, , ,3/2, , , , ,-18672.766,1001356,,,-9039.9,10,14548.745,432,15557.65,20,1468.78,8,6640.499,21,112.888483,17017713.959,380,16500.447,354
0,17,11,6,Na,Na 17,,,0, ,(1/2+), , , , , , , , , , , , , , , ,3/2, , , , ,,,,,,,18672.767,1001,,,-3897.47,1002,5496.08,58903,93.43336,17037760,1075000,35173.214,1001356
0,18,5,13,B,B 18,,,0, ,(2-), , , , , , ,N,100, , , , , , , , , , , , ,26873.37,206357,22689.42,205,,,,,-5,5,,,4976.63,11342,89.57934,18055601.682,219180,51792.634,204165
0,18,6,12,C,C 18,,,0, ,0+, ,92,2,ms,0.092,0.002,B-,100, ,B-N,31.5,1.5, , , ,3, , , , ,11806.096,35282,8977.87,34,-17460.15,136,-26873.37,206,4183.95,35,26086.02,206,6426.131,1667,115.670358,18026751.932,32206,24919.264,30000
0,18,7,11,N,N 18,,,0, ,1-, ,624,12,ms,0.624,0.012,B-,100, ,B-N,14.3,2,B-A,12.2,0.6,2, , , , ,13895.984,18570,5850.61,19,-12975.43,28,-11806.096,35,2828.23,24,15207.7,25,7038.562,1032,126.694116,18014077.565,19935,13113.168,18570
