nodeID,Element,#Protons,X,Y,Z,Radius,Volume,Ratio
271, Maximum stable element,236,0,72.2953,0,595.396,884112000,3746240
2631, ME 142 noble gas,142,0,153.317,0,583.541,832342000,5861560
2330, ME 1,67,-92.3695,148.393,38.2781,389.603,247716000,3697260
2331, ME 2 neo ,69,-110.469,113.519,73.5651,412.176,293317000,4250970
2332, ME 3 neo,75,-112.656,151.722,76.6901,415.056,299508000,3993440
2641, ME 66 noble gas,66,-46.3434,77.8855,67.7844,409.205,287019000,4348770
2337, ME99 Ru-Rh,99,-58.7606,116.454,43.7737,486.886,483472000,4883550
422, metalicon,29,-39.7532,70.5358,-0.264426,248.658,64401700,2220750
274, Missing +1 element after M.E.50 ,53,0,78.5397,0,345.496,172750000,3259430
2574, Missing Noble Gas,142,0,153.317,0,583.541,832342000,5861560
275, Missing noble gas 1 (50),50,0,78.5397,0,345.496,172750000,3455000
276, Missing noble gas 2 (65),66,-46.3434,77.8855,67.7844,409.205,287019000,4348770
437, nobilium 96,96,-92.6306,132.316,-53.3982,435.77,346625000,3610680
439, noble gas 110,110,0,77.2312,0,479.211,460966000,4190600
428, Noble gas 202 configuration,202,0,153.317,0,583.541,832342000,4120500
2335, Palladium made noble,112,-64.016,96.8525,-23.0041,528.685,618983000,5526630
740, Seldon 170,170,0,153.317,0,583.541,832342000,4896130
2328, SISI Fe56,56,119.04,117.957,-75.0063,410.439,289624000,5171860
269, Magnesium 24,24,-8.88178E-15,54.8584,-6.75016E-14,207.808,37590300,1566260
802, magnesium 25,25,36.7616,59.3801,0.331903,242.832,59979900,2399200
803, magnesium 26,26,0,25.584,9.99201E-15,276.609,88652300,3409700
792, Magnesium 27,27,0.256267,70.9226,-68.6866,245.658,62098200,2299930
780, Max isotope Magnesium 34,34,0,25.584,9.99201E-15,276.609,88652300,2607420
1317, Aluminum 27,27,-29.7726,47.9424,16.0089,238.81,57048900,2112920
795, Aluminum 28,28,-39.9897,36.8907,-1.6095E-14,241.518,59011600,2107560
796, Aluminum 29,29,-48.4697,82.2299,-4.26326E-14,260.882,74374300,2564630
797, Aluminum 30,30,-24.0678,104.034,-38.7491,275.184,87288700,2909620
